,batch_auc,batch_ci_low,batch_ci_high,bio_auc,bio_ci_low,bio_ci_high,n_significant,icc_score
raw,0.9901563873831302,0.9785365242450821,0.9983568959025092,0.5701044826423998,0.5254985919906894,0.6208376051622515,224.0,
ComBat,0.9901563873831302,0.9785365242450821,0.9983568959025092,0.5701044826423998,0.5254985919906894,0.6208376051622515,224.0,
BART/RF,0.40800343927770166,0.3686543662068258,0.4346698408720712,0.5634960758823246,0.5176505648799933,0.611689257320622,232.0,
Riemannian,0.22002092095936324,0.20507455206114525,0.23628420917384044,0.9814747941643795,0.9687473329129889,0.9907932795883936,460.0,
