model_1,model_2,auc_1,auc_2,z_score,p_value,significant
raw,ComBat,0.5701044826423998,0.5701044826423998,0.0,0.0,Yes
raw,BART/RF,0.5701044826423998,0.5634960758823246,-0.8100540146375016,0.4179091321687294,No
raw,Riemannian,0.5701044826423998,0.9814747941643795,17.70245384516251,4.014287373890266e-70,Yes
ComBat,BART/RF,0.5701044826423998,0.5634960758823246,-0.8100540146375016,0.4179091321687294,No
ComBat,Riemannian,0.5701044826423998,0.9814747941643795,17.70245384516251,4.014287373890266e-70,Yes
BART/RF,Riemannian,0.5634960758823246,0.9814747941643795,17.939229395696803,5.825740973584214e-72,Yes
