method,mean_batch_auc,std_batch_auc,n_batches
raw,0.8676172905373476,0.2123699158394924,4
ComBat,0.8676172905373476,0.2123699158394924,4
BART/RF,0.43100257945827625,0.04681832459053548,4
Riemannian,0.29001569071952243,0.12173828104647963,4
