,batch_auc,batch_ci_low,batch_ci_high,bio_auc,bio_ci_low,bio_ci_high,n_significant,icc_score
raw,0.9099250516083917,0.8392367472365154,0.969202382460565,0.6663505610874032,0.5798871064255682,0.7525643216201399,41.0,
ComBat,0.7364583714973957,0.5523105860419709,0.8800801208401512,0.6864232653706338,0.5961892506266372,0.767589620585695,58.0,
BART/RF,0.4005669377266462,0.20803082593356956,0.5894589050920922,0.6995416469100679,0.6227958694585177,0.7756995588816946,39.0,
Riemannian,0.5188435867804106,0.3982892431172016,0.6347308075713763,1.0,0.9999999999999999,1.0,226.0,
