method,mean_batch_auc,std_batch_auc,n_batches
raw,0.9099250516083917,0.11019349133263386,10
ComBat,0.7364583714973957,0.27190531147210995,10
BART/RF,0.4005669377266462,0.31370704516736053,10
Riemannian,0.5188435867804106,0.19400029199291366,10
