model_1,model_2,auc_1,auc_2,z_score,p_value,significant
raw,ComBat,0.6663505610874032,0.6864232653706338,0.4527268277276516,0.6507454590100634,No
raw,BART/RF,0.6663505610874032,0.6995416469100679,1.2885048036503952,0.19757029777827118,No
raw,Riemannian,0.6663505610874032,1.0,7.323391646693712,2.4178082831705043e-13,Yes
ComBat,BART/RF,0.6864232653706338,0.6995416469100679,0.34051631556437395,0.7334677380772805,No
ComBat,Riemannian,0.6864232653706338,1.0,7.200701389014194,5.990360842549021e-13,Yes
BART/RF,Riemannian,0.6995416469100679,1.0,7.244427132953183,4.3427080864759e-13,Yes
