,batch_auc,batch_auc_ci_low,batch_auc_ci_high,bio_auc,bio_auc_ci_low,bio_auc_ci_high,n_significant,icc_score
raw,0.9679739798399394,0.9530930275091619,0.9816978609625668,0.6204710144927535,0.4815524003024003,0.7493957488143534,9.0,
ComBat,0.8995889791393649,0.8162481928363076,0.9829099821746881,0.5226449275362319,0.37511844023323615,0.6603734903381642,0.0,
BART/RF,0.40044204656909577,0.12915209790209792,0.5615929789700281,0.6295289855072465,0.48797750257997935,0.7595170454545455,16.0,
Riemannian,0.306326455340438,0.21009872480460717,0.3810746971607628,1.0,0.9999999999999999,1.0,129.0,
