model_1,model_2,auc_1,auc_2,z_score,p_value
raw,ComBat,0.6204710144927535,0.5226449275362319,-1.774125326123453,0.0760424224482503
raw,BART/RF,0.6204710144927535,0.6295289855072465,0.28336337478973045,0.7768983009546626
raw,Riemannian,0.6204710144927535,1.0,5.329269881695277,9.86083739793384e-08
ComBat,BART/RF,0.5226449275362319,0.6295289855072465,1.8678791144442726,0.061778922667265077
ComBat,Riemannian,0.5226449275362319,1.0,6.441541767949406,1.1826589173969495e-10
BART/RF,Riemannian,0.6295289855072465,1.0,5.270236189096475,1.3624832188711814e-07
