,batch_auc,batch_auc_ci_low,batch_auc_ci_high,bio_auc,bio_auc_ci_low,bio_auc_ci_high,n_significant,icc_score
raw,0.989996693121693,0.9722222222222221,1.0,0.8062111801242237,0.6769232711563271,0.9231007751937985,247.0,
ComBat,0.9152185739887353,0.8304371479774706,1.0,0.8161490683229813,0.6868285045546558,0.9279594380996906,144.0,
BART/RF,0.1718300447419111,0.052721088435374146,0.2382179126130739,0.6919254658385092,0.5528998924183229,0.8161569475528286,137.0,
Riemannian,0.5472030209933436,0.4955357142857143,0.6022625448028673,1.0,0.9999999999999999,1.0,736.0,
