model_1,model_2,auc_1,auc_2,z_score,p_value
raw,ComBat,0.8062111801242237,0.8161490683229813,0.16656637383733272,0.8677112538022433
raw,BART/RF,0.8062111801242237,0.6919254658385092,-1.7347810057601263,0.08277960176903129
raw,Riemannian,0.8062111801242237,1.0,3.0762276020255763,0.0020963775458802294
ComBat,BART/RF,0.8161490683229813,0.6919254658385092,-1.3738052584262723,0.16950214821735443
ComBat,Riemannian,0.8161490683229813,1.0,2.964251280339551,0.0030342041109547766
BART/RF,Riemannian,0.6919254658385092,1.0,4.4512869027894375,8.535721009460905e-06
