model_1,model_2,auc_1,auc_2,z_score,p_value
raw,ComBat,0.6184210526315789,0.48402255639097747,-1.681467729482291,0.09267209950583075
raw,BART/RF,0.6184210526315789,0.5855263157894737,-0.4214227179873688,0.673446432958111
raw,Riemannian,0.6184210526315789,1.0,5.4659658249911764,4.6039304018821195e-08
ComBat,BART/RF,0.48402255639097747,0.5855263157894737,2.027276603889721,0.04263413280397623
ComBat,Riemannian,0.48402255639097747,1.0,6.661763035343483,2.7056202636306162e-11
BART/RF,Riemannian,0.5855263157894737,1.0,4.850086762409074,1.2340748179254434e-06
