,batch_auc,batch_auc_ci_low,batch_auc_ci_high,bio_auc,bio_auc_ci_low,bio_auc_ci_high,n_significant,icc_score
raw,0.9655798284569836,0.9527113810518983,0.9884785353535354,0.6184210526315789,0.4801448170731707,0.7552479951479211,10.0,
ComBat,0.9257866923545803,0.8473922958028561,0.9908459595959596,0.48402255639097747,0.33458184724632095,0.6560467244255003,10.0,
BART/RF,0.5364773815743643,0.17982219827586207,0.7434827803901081,0.5855263157894737,0.4199869750502662,0.7573849624060149,28.0,
Riemannian,0.3635751371473354,0.15482954545454541,0.5336133424764891,1.0,0.9999999999999999,1.0,282.0,
